name	beta	hr	se	z	p
age	0.008676928571665948	1.0087146822326558	0.009462688988210332	0.9169622485190656	0.3591624227893333
is_male	-0.000581295864652473	0.9994188730550563	0.18438238869817664	-0.0031526647894990715	0.9974845416060532
stage_II	0.9000983880475684	2.459845118609975	0.22777223473272204	3.9517476267631277	7.758253596135134e-05
stage_III	1.1537511621396555	3.1700620509812767	0.2346941254925311	4.915978019127592	8.834031000048981e-07
stage_IV	1.5319326280852092	4.627110670651438	0.3388597908111066	4.520845109472333	6.159324382082332e-06
