covariate	beta_std	hr_std
stage_IV	-1.1025153503720797	0.33203484844707404
stage_II	0.8881155671542412	2.4305451339554947
stage_III	0.7558266497940571	2.129371040134808
gene_BPIFB1	-0.42214393888835505	0.6556396605573102
gene_CEACAM5	-0.40720182277437694	0.6655098617000281
gene_SMOC1	0.33874993821799576	1.403192416541455
gene_CLDN6	-0.27708451872354917	0.7579904300195044
gene_MS4A15	-0.2724641479624379	0.7615007300385834
is_male	0.25266784378060536	1.2874555694311447
gene_FAM3B	-0.24918821385559523	0.7794332594393966
gene_AC019117.1	-0.19748545984488436	0.8207920749850488
age	-0.18935848819933004	0.8274898081851536
gene_SCGB1A1	-0.10768939283192966	0.8979064493007523
gene_CD177	-0.06548614755185504	0.9366120210392183
gene_NTS	-0.06037987346875598	0.9414068501656464
gene_PSPHP1	0.04926416785279288	1.0504978218429017
gene_KRT6A	0.03570405537482363	1.0363490991573483
gene_CA9	0.035233561066996474	1.0358616174929396
gene_AFAP1-AS1	0.023442231409255766	1.0237191602252094
gene_VSIG1	0.021380774793400024	1.0216109812958625
gene_Z98257.1	0.008909801119610834	1.0089496115440888
gene_AL121949.1	-0.005632695815164021	0.9943831380728015
gene_ORM1	0.002459060871401623	1.002462086841426
