name	beta	hr	se	z	p
age	0.03376410761398262	1.0343405848792795	0.03713418580648111	0.9092459382289647	0.363220320362422
is_male	-0.5402620245399551	0.582595578034337	0.6503544195488765	-0.8307193866918167	0.40613217179894456
stage_II	2.309824431321797	10.072656056853011	1.0200050337458824	2.26452258067704	0.023541992542677637
stage_III	2.168362659203447	8.743955478543953	1.0622597117722679	2.041273555960965	0.041223644003477666
stage_IV	-7.895854455801584	0.00037228366431243736	33.54918430077028	-0.23535160750898787	0.8139358427972703
gene_PTTG1	0.6046429650444997	1.830598504539459	0.8508642742233855	0.710622109027176	0.47731843878756797
gene_PPP1R3G	0.16987746940062604	1.185159624104063	0.668102827220833	0.2542684486268087	0.7992881732788741
gene_PLEK2	-0.43905900254098196	0.6446427429478224	0.5222546565854604	-0.8406990670252367	0.40051654338464315
gene_GADD45A	1.3115672436939751	3.711986743617989	0.3957640343528834	3.3140132246694125	0.0009196715737622707
gene_LDHA	-0.7874887473410327	0.4549859464910587	0.6566064943375143	-1.1993313409663615	0.23039913315751215
gene_HS3ST2	-1.8600866318822458	0.1556591447391655	0.5921553883872085	-3.1412137225473344	0.0016824920484845851
gene_ATF7IP2	-1.154668994638922	0.3151618398986494	0.419472995765188	-2.7526658600099276	0.005911219486572694
gene_PTHLH	-0.32045004646101855	0.725822309796126	0.35932153448049836	-0.8918197650589474	0.37248954587288674
gene_HMGB2	0.18988951558804681	1.209116001806815	0.49418360905143416	0.38424891499848046	0.700793966897741
gene_RRM1	1.7033542286603198	5.492339090691987	0.8631675396989053	1.9733761411538866	0.0484527238236625
